flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
25,33,0,0,25-33-0-0,3301.516,1520.767,758.092,6148.806,10.335,7.308,20159,23683,1
25,46,0,0,25-46-0-0,41.076,27.858,0.007,90.059,0.132,0.093,32955,20151,1
25,47,0,0,25-47-0-0,419.917,269.945,0.045,886.587,1.237,0.875,35417,20226,1
26,37,0,0,26-37-0-0,1368.144,585.669,358.902,2465.073,4.081,2.886,19651,25747,1
27,30,0,0,27-30-0-0,0.128,0.08,0,0.264,0,0,28896,17459,1
27,35,0,0,27-35-0-0,8943.495,6483.687,0.571,20641.544,43.538,30.811,20019,20871,1
27,46,0,0,27-46-0-0,831.054,569.984,0.104,1828.569,2.612,1.847,33867,20822,1
27,47,0,0,27-47-0-0,849.99,585.592,0.028,1878.682,2.608,1.844,39763,24079,1
28,44,0,0,28-44-0-0,2330.585,973.607,685.719,4170.805,6.659,4.709,21102,29905,1
28,45,0,0,28-45-0-0,507.565,212.576,141.349,906.9,1.225,0.866,26927,23327,1
29,44,0,0,29-44-0-0,4991.894,1986.872,1582.96,8717.144,14.067,9.947,19654,29617,1
29,45,0,0,29-45-0-0,1054.427,419.593,346.07,1864.274,2.375,1.679,28056,25264,1
30,44,0,0,30-44-0-0,7215.94,2670.717,2674.844,12310.224,20.184,14.272,17641,24681,1
30,45,0,0,30-45-0-0,1595.592,589.025,580.495,2721.928,3.352,2.37,28371,26171,1
31,44,0,0,31-44-0-0,6793.67,2145.409,2945.797,10868.298,13.964,9.874,23202,28252,1
31,45,0,0,31-45-0-0,1623.227,604.802,563.981,2762.35,3.541,2.504,26845,25294,1
32,44,0,0,32-44-0-0,183.294,150.716,0.016,456.952,0.829,0.586,27301,23916,1
32,45,0,0,32-45-0-0,40.672,33.019,0,100.289,0.167,0.118,27352,20651,1
33,44,0,0,33-44-0-0,3742.655,1153.187,1589.074,5866.258,6.324,4.472,31981,26441,1
33,45,0,0,33-45-0-0,311.28,118.797,100.686,536.856,0.645,0.456,30011,22129,1
34,44,0,0,34-44-0-0,4045.024,1340.234,1634.182,6598.6,7.38,5.218,31684,29122,1
34,45,0,0,34-45-0-0,335.923,135.572,99.421,590.991,0.738,0.522,29707,23935,1
35,44,0,0,35-44-0-0,18005.628,5009.234,9083.319,27655.375,28.28,19.997,30767,32504,1
35,45,0,0,35-45-0-0,1521.719,532.166,599.122,2540.286,2.836,2.005,32065,26925,1
36,44,0,0,36-44-0-0,298.837,225.694,0.011,702.31,1.123,0.794,31214,22683,1
36,45,0,0,36-45-0-0,26.975,21.633,0,66.263,0.108,0.076,27817,20375,1
37,44,0,0,37-44-0-0,11066.815,3279.539,5128.784,17277.426,18.635,13.218,30844,32032,1
37,45,0,0,37-45-0-0,1069.506,391.08,393.781,1820.064,2.067,1.461,32654,27530,1
44,17,0,0,44-17-0-0,41575.579,8562.01,26130.039,57819.698,58.328,41.282,21467,24347,1
44,27,0,0,44-27-0-0,10624.497,6515.77,1033.724,22853.302,43.744,30.932,20248,21168,1
44,46,0,0,44-46-0-0,6472.895,4328.412,0.15,13938.093,22.688,16.576,33530,23454,1
45,38,0,0,45-38-0-0,8065.083,1743.119,4831.361,11323.99,11.306,7.995,23161,23764,1
45,46,0,0,45-46-0-0,0.129,0.079,0,0.264,0,0,27939,16177,1
47,40,0,0,47-40-0-0,286.882,197.601,0.014,635.899,0.898,0.635,37884,24264,1
47,41,0,0,47-41-0-0,430.441,296.173,0.033,950.218,1.39,0.983,34732,21071,1
47,42,0,0,47-42-0-0,1312.001,908.537,0.375,2909.838,4.055,2.868,39912,22556,1
48,43,0,0,48-43-0-0,0.129,0.08,0,0.264,0,0,28466,16890,1
49,16,0,0,49-16-0-0,500.645,333.041,0.032,1085.047,1.621,1.146,32828,20103,1
50,19,0,0,50-19-0-0,195.562,80.978,55.068,349.459,0.447,0.316,29608,24201,1
51,20,0,0,51-20-0-0,497.374,51.552,400.435,593.722,0.197,0.139,68396,34006,1
51,25,0,0,51-25-0-0,102.933,15.977,73.454,133.014,0.11,0.078,28010,20687,1
52,21,0,0,52-21-0-0,314.991,36.219,246.016,381.361,0.15,0.106,58865,33191,1
53,22,0,0,53-22-0-0,1043.727,388.212,353.589,1786.752,1.642,1.161,47774,21235,1
53,38,0,0,53-38-0-0,0.128,0.08,0,0.265,0,0,29757,18608,1
