From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Concreting_C&D_processing,owp_overburden_interburden,416,2019,England,27,47,0,0,nan,nan
Concreting_C&D_processing,Landfill,411,2019,England,27,46,0,0,nan,nan
Concrete_manufacturing,Landfill,320,2019,England,3,46,1,0,20-21-22-23-24,nan
Concrete_sand,Landfill,98,2019,England,20,46,0,0,nan,nan
Concrete_gravel,Landfill,148,2019,England,21,46,0,0,nan,nan
Concrete_crushed_rock,Landfill,74,2019,England,22,46,0,0,nan,nan
Concrete_manufacturing,owp,1019,2019,England,3,10,1,1,20-21-22-23-24,47-48
Concrete_sand,owp_overburden_interburden,142,2019,England,20,47,0,0,nan,nan
Concrete_gravel,owp_overburden_interburden,213,2019,England,21,47,0,0,nan,nan
Concrete_crushed_rock,owp_overburden_interburden,664,2019,England,22,47,0,0,nan,nan
Mortar_manufacturing,owp,180,2019,England,4,10,1,1,25-26,47-48
Mortar_sand,owp_overburden_interburden,180,2019,England,25,47,0,0,nan,nan
Mortar_manufacturing,Landfill,20,2019,England,4,46,1,0,25-26,nan
Mortar_sand,Landfill,20,2019,England,25,46,0,0,nan,nan
Import,Other_aggregate_and_non_aggregate_use,0,2019,England,11,7,1,1,51-52-53-54-55-56-57-58-59-60,38-39
Import_crushed_rock_lw,Other_aggregate_use,0,2019,England,53,38,0,0,nan,nan
Other_infrastructure,Demolition,21260,2019,England,5,44,1,0,28-29-30-31-32,nan
Other_infrastructure_sand,Demolition,3162,2019,England,28,44,0,0,nan,nan
Other_infrastructure_gravel,Demolition,4743,2019,England,29,44,0,0,nan,nan
Other_infrastructure_crushed_rock,Demolition,5913,2019,England,30,44,0,0,nan,nan
Other_infrastructure_cement,Demolition,6772,2020,England,31,44,0,0,nan,nan
Other_infrastructure_steel,Demolition,670,2023,England,32,44,0,0,nan,nan
Buildings,Demolition,11960,2019,England,6,44,1,0,33-34-35-36-37,nan
Buildings_sand,Demolition,1083,2019,England,33,44,0,0,nan,nan
Buildings_gravel,Demolition,1625,2019,England,34,44,0,0,nan,nan
Buildings_crushed_rock,Demolition,5066,2019,England,35,44,0,0,nan,nan
Buildings_steel,Demolition,377,2020,England,36,44,0,0,nan,nan
Buildings_cement,Demolition,3809,2021,England,37,44,0,0,nan,nan
Other_infrastructure,Deconstruction,2361,2019,England,5,45,1,0,28-29-30-31-32,nan
Other_infrastructure_sand,Deconstruction,351,2019,England,28,45,0,0,nan,nan
Other_infrastructure_gravel,Deconstruction,527,2019,England,29,45,0,0,nan,nan
Other_infrastructure_crushed_rock,Deconstruction,657,2019,England,30,45,0,0,nan,nan
Other_infrastructure_cement,Deconstruction,752,2020,England,31,45,0,0,nan,nan
Other_infrastructure_steel,Deconstruction,74,2023,England,32,45,0,0,nan,nan
Buildings,Deconstruction,1329,2019,England,6,45,1,0,33-34-35-36-37,nan
Buildings_sand,Deconstruction,120,2019,England,33,45,0,0,nan,nan
Buildings_gravel,Deconstruction,181,2019,England,34,45,0,0,nan,nan
Buildings_crushed_rock,Deconstruction,563,2019,England,35,45,0,0,nan,nan
Buildings_steel,Deconstruction,42,2019,England,36,45,0,0,nan,nan
Buildings_cement,Deconstruction,423,2022,England,37,45,0,0,nan,nan
Demolition,Landfill,3270,2019,England,44,46,0,0,nan,nan
Deconstruction,Landfill,0,2019,England,45,46,0,0,nan,nan
owp,Landscape_geo,25419,2019,England,10,8,1,1,47-48,40-41-42-43
owp_overburden_interburden,Landscape_geo_sand_for_fill,142,2019,England,47,40,0,0,nan,nan
owp_overburden_interburden,Landscape_geo_gravel_for_fill,213,2019,England,47,41,0,0,nan,nan
owp_overburden_interburden,Landscape_geo_crushed_rock_for_fill,664,2019,England,47,42,0,0,nan,nan
owp_scalpings_fines,Landscape_geo_scalpings_and_fines,0,2019,England,48,43,0,0,nan,nan
Deconstruction,Other_aggregate_and_non_aggregate_use,2399,2019,England,45,7,0,1,nan,38-39
Deconstruction,Other_aggregate_use,2399,2019,England,45,38,0,0,nan,nan
Demolition,Concreting_C&D_processing,10008,2019,England,44,27,0,0,nan,nan
Demolition,Upstream_processing,37808,2019,England,44,2,0,1,nan,13-14-15-16-17-18-19
Demolition,C&D_waste_pr,37808,2019,England,44,17,0,0,nan,nan
